station_id,datetime_utc,hour_utc,temp_C,pressure_hPa,humidity_pct,wind_avg,wind_dir_deg,sunshine,rain_mm
07510,2026-02-15 00:00:00,0.0,2.9,1023.4,90.0,3.6,210.0,,0.0
07510,2026-02-15 01:00:00,1.0,2.5,1023.4,93.0,3.6,190.0,,0.0
07510,2026-02-15 02:00:00,2.0,2.7,1023.3,93.0,7.2,200.0,,0.0
07510,2026-02-15 03:00:00,3.0,3.8,1022.3,86.0,7.2,180.0,,0.0
07510,2026-02-15 04:00:00,4.0,4.9,1021.4,78.0,14.4,190.0,,0.0
07510,2026-02-15 05:00:00,5.0,5.5,1020.7,80.0,14.4,180.0,,0.0
07510,2026-02-15 06:00:00,6.0,5.8,1020.0,87.0,14.4,180.0,0.6,0.0
07510,2026-02-15 07:00:00,7.0,6.0,1019.3,92.0,14.4,190.0,,0.4
07510,2026-02-15 08:00:00,8.0,6.8,1018.5,96.0,21.6,200.0,,1.2
07510,2026-02-15 09:00:00,9.0,7.9,1017.9,97.0,21.6,200.0,,1.6
07510,2026-02-15 10:00:00,10.0,9.3,1017.4,98.0,21.6,220.0,,2.9
07510,2026-02-15 11:00:00,11.0,11.5,1016.8,96.0,28.8,250.0,,2.2
07510,2026-02-15 12:00:00,12.0,11.8,1016.0,96.0,28.8,260.0,,3.2
07510,2026-02-15 13:00:00,13.0,12.0,1015.7,94.0,28.8,270.0,,0.8
07510,2026-02-15 14:00:00,14.0,12.2,1014.8,91.0,32.4,270.0,,0.2
07510,2026-02-15 15:00:00,15.0,12.0,1014.6,93.0,39.6,270.0,,1.6
07510,2026-02-15 16:00:00,16.0,11.7,1013.8,94.0,36.0,250.0,,2.8
07510,2026-02-15 17:00:00,17.0,11.8,1013.7,96.0,36.0,250.0,,3.1
07510,2026-02-15 18:00:00,18.0,12.3,1014.2,96.0,32.4,270.0,,2.4
07510,2026-02-15 19:00:00,19.0,12.6,1014.7,96.0,36.0,280.0,,0.6
07510,2026-02-15 20:00:00,20.0,12.8,1015.3,94.0,32.4,280.0,,0.4
07510,2026-02-15 21:00:00,21.0,13.1,1015.7,91.0,36.0,280.0,,0.0
07510,2026-02-15 22:00:00,22.0,12.9,1015.6,93.0,28.8,280.0,,0.0
07510,2026-02-15 23:00:00,23.0,12.9,1015.6,92.0,28.8,270.0,,0.0
07510,2026-02-16 00:00:00,0.0,12.7,1015.3,94.0,28.8,270.0,,0.6
07510,2026-02-16 01:00:00,1.0,12.7,1014.4,94.0,32.4,260.0,,0.4
07510,2026-02-16 02:00:00,2.0,12.7,1014.0,92.0,32.4,260.0,,0.2
07510,2026-02-16 03:00:00,3.0,12.5,1013.9,95.0,28.8,260.0,,0.8
07510,2026-02-16 04:00:00,4.0,12.5,1012.5,96.0,28.8,270.0,,1.6
07510,2026-02-16 05:00:00,5.0,12.6,1012.3,96.0,32.4,270.0,,0.2
07510,2026-02-16 06:00:00,6.0,12.7,1012.5,96.0,36.0,280.0,0.0,0.2
07510,2026-02-16 07:00:00,7.0,12.7,1012.2,96.0,32.4,280.0,,0.8
07510,2026-02-16 08:00:00,8.0,12.6,1012.8,87.0,28.8,290.0,,0.0
07510,2026-02-16 09:00:00,9.0,12.5,1013.8,84.0,28.8,290.0,,0.0
07510,2026-02-16 10:00:00,10.0,12.7,1014.6,81.0,21.6,290.0,,0.0
07510,2026-02-16 11:00:00,11.0,13.2,1014.6,78.0,28.8,290.0,,0.0
07510,2026-02-16 12:00:00,12.0,12.8,1014.4,79.0,28.8,280.0,,0.0
07510,2026-02-16 13:00:00,13.0,11.9,1013.6,92.0,25.2,280.0,,0.8
07510,2026-02-16 14:00:00,14.0,12.2,1013.6,87.0,25.2,290.0,,1.6
07510,2026-02-16 15:00:00,15.0,12.3,1013.9,80.0,32.4,290.0,,0.0
07510,2026-02-16 16:00:00,16.0,12.2,1014.3,74.0,25.2,280.0,,0.0
07510,2026-02-16 17:00:00,17.0,11.9,1014.9,76.0,28.4,290.0,0.6,0.0
07510,2026-02-16 18:00:00,18.0,11.5,1015.8,75.0,25.2,290.0,,0.0
07510,2026-02-16 19:00:00,19.0,10.0,1016.9,90.0,18.0,300.0,,1.0
07510,2026-02-16 20:00:00,20.0,10.2,1017.7,83.0,14.4,300.0,,0.0
07510,2026-02-16 21:00:00,21.0,10.3,1018.4,76.0,18.0,290.0,,0.0
07510,2026-02-16 22:00:00,22.0,9.9,1018.8,80.0,14.4,290.0,,0.0
07510,2026-02-16 23:00:00,23.0,9.5,1019.4,88.0,18.0,290.0,,0.2
07510,2026-02-17 00:00:00,0.0,9.0,1019.6,86.0,14.4,260.0,,0.0
07510,2026-02-17 01:00:00,1.0,8.9,1019.9,87.0,14.4,260.0,,0.0
07510,2026-02-17 02:00:00,2.0,9.0,1020.1,84.0,11.9,280.0,0.8,0.0
07510,2026-02-17 03:00:00,3.0,8.7,1020.0,83.0,10.8,280.0,,0.0
07510,2026-02-17 04:00:00,4.0,7.7,1020.1,87.0,10.8,260.0,,0.0
07510,2026-02-17 05:00:00,5.0,6.7,1020.3,89.0,7.2,210.0,,0.0
07510,2026-02-17 06:00:00,6.0,7.0,1020.6,95.0,10.8,240.0,0.7,0.0
07510,2026-02-17 07:00:00,7.0,7.3,1020.8,92.0,7.2,230.0,,0.2
07510,2026-02-17 08:00:00,8.0,7.8,1021.7,94.0,10.8,240.0,,0.0
07510,2026-02-17 09:00:00,9.0,8.9,1021.8,92.0,7.2,220.0,,0.0
07510,2026-02-17 10:00:00,10.0,11.1,1021.9,83.0,10.8,230.0,,0.0
07510,2026-02-17 11:00:00,11.0,12.1,1021.9,78.0,10.8,230.0,,0.0
07510,2026-02-17 12:00:00,12.0,12.5,1021.7,73.0,14.4,240.0,,0.0
07510,2026-02-17 13:00:00,13.0,11.9,1021.1,78.0,18.0,260.0,,0.0
07510,2026-02-17 14:00:00,14.0,11.1,1020.6,81.0,18.0,250.0,0.8,0.0
07510,2026-02-17 15:00:00,15.0,10.5,1020.3,94.0,10.8,230.0,,0.0
07510,2026-02-17 16:00:00,16.0,10.6,1020.0,93.0,14.4,230.0,,0.2
07510,2026-02-17 17:00:00,17.0,10.2,1019.8,93.0,10.8,220.0,,0.0
07510,2026-02-17 18:00:00,18.0,10.1,1019.7,94.0,14.4,210.0,,0.0
07510,2026-02-17 19:00:00,19.0,10.0,1019.3,95.0,14.4,220.0,,0.0
07510,2026-02-17 20:00:00,20.0,10.2,1018.6,95.0,14.4,220.0,,0.0
07510,2026-02-17 21:00:00,21.0,10.5,1018.6,96.0,14.4,230.0,,0.0
07510,2026-02-17 22:00:00,22.0,10.9,1017.9,96.0,14.4,230.0,,0.0
07510,2026-02-17 23:00:00,23.0,10.9,1017.4,96.0,14.4,210.0,,0.0
07510,2026-02-18 00:00:00,0.0,11.2,1017.0,96.0,18.0,220.0,,0.0
07510,2026-02-18 01:00:00,1.0,11.8,1016.4,92.0,18.0,220.0,,0.0
07510,2026-02-18 02:00:00,2.0,11.6,1015.8,92.0,18.0,210.0,,0.0
07510,2026-02-18 03:00:00,3.0,11.4,1014.9,91.0,18.0,200.0,,0.0
07510,2026-02-18 04:00:00,4.0,11.4,1014.3,88.0,14.4,220.0,,0.0
07510,2026-02-18 05:00:00,5.0,11.2,1013.9,87.0,10.8,230.0,,0.0
07510,2026-02-18 06:00:00,6.0,10.6,1013.2,86.0,14.4,210.0,0.1,0.0
07510,2026-02-18 07:00:00,7.0,10.0,1012.8,88.0,10.8,220.0,,0.0
07510,2026-02-18 08:00:00,8.0,10.7,1012.3,84.0,14.4,190.0,,0.0
07510,2026-02-18 09:00:00,9.0,13.2,1011.3,74.0,14.4,200.0,,0.0
07510,2026-02-18 10:00:00,10.0,14.0,1010.3,72.0,14.4,190.0,,0.0
07510,2026-02-18 11:00:00,11.0,15.3,1009.4,64.0,18.0,180.0,,0.0
07510,2026-02-18 12:00:00,12.0,16.1,1007.5,60.0,21.6,170.0,,0.0
07510,2026-02-18 13:00:00,13.0,16.3,1005.2,58.0,21.6,180.0,,0.0
07510,2026-02-18 14:00:00,14.0,16.4,1003.4,58.0,21.6,200.0,,0.0
07510,2026-02-18 15:00:00,15.0,16.9,1001.6,54.0,28.8,190.0,,0.0
07510,2026-02-18 16:00:00,16.0,13.6,1003.5,72.0,25.2,250.0,,1.0
07510,2026-02-18 17:00:00,17.0,9.9,1003.7,88.0,22.7,250.0,4.8,2.6
07510,2026-02-18 18:00:00,18.0,10.9,1002.2,84.0,25.2,230.0,,0.2
07510,2026-02-18 19:00:00,19.0,11.5,1002.4,80.0,36.0,260.0,,0.8
07510,2026-02-18 20:00:00,20.0,10.9,1003.2,83.0,43.2,260.0,,0.2
07510,2026-02-18 21:00:00,21.0,11.0,1003.7,75.0,39.6,260.0,,0.0
07510,2026-02-18 22:00:00,22.0,10.2,1004.2,77.0,38.2,260.0,4.8,0.4
07510,2026-02-18 23:00:00,23.0,9.8,1004.2,80.0,39.6,270.0,,0.8
07510,2026-02-19 00:00:00,0.0,10.9,1004.5,69.0,39.6,270.0,,0.0
07510,2026-02-19 01:00:00,1.0,11.0,1004.8,66.0,43.2,270.0,,0.0
07510,2026-02-19 02:00:00,2.0,9.4,1005.2,77.0,50.4,280.0,,0.6
07510,2026-02-19 03:00:00,3.0,9.2,1005.1,79.0,36.0,270.0,,0.4
07510,2026-02-19 04:00:00,4.0,8.8,1005.8,86.0,36.0,270.0,,0.2
07510,2026-02-19 05:00:00,5.0,9.0,1006.8,86.0,36.0,290.0,,1.0
07510,2026-02-19 06:00:00,6.0,9.1,1007.2,88.0,39.6,280.0,4.8,1.2
07510,2026-02-19 07:00:00,7.0,10.1,1007.9,81.0,32.4,280.0,,0.0
07510,2026-02-19 08:00:00,8.0,10.5,1008.8,79.0,36.0,280.0,,0.0
07510,2026-02-19 09:00:00,9.0,10.5,1009.7,79.0,39.6,280.0,,0.2
07510,2026-02-19 10:00:00,10.0,11.3,1010.6,77.0,43.2,280.0,,0.2
07510,2026-02-19 11:00:00,11.0,10.4,1011.5,84.0,39.6,280.0,,1.0
07510,2026-02-19 12:00:00,12.0,10.6,1012.0,85.0,43.2,280.0,,1.6
07510,2026-02-19 13:00:00,13.0,12.4,1012.2,73.0,57.6,290.0,,0.4
07510,2026-02-19 14:00:00,14.0,11.8,1012.5,76.0,46.8,280.0,,0.0
07510,2026-02-19 15:00:00,15.0,12.3,1013.4,73.0,50.4,290.0,,0.0
07510,2026-02-19 16:00:00,16.0,12.1,1014.5,73.0,46.8,290.0,,0.0
07510,2026-02-19 17:00:00,17.0,11.4,1015.6,75.0,50.4,290.0,,0.0
07510,2026-02-19 18:00:00,18.0,10.4,1017.5,87.0,39.6,300.0,,1.8
07510,2026-02-19 19:00:00,19.0,10.8,1018.6,82.0,36.0,300.0,,0.2
07510,2026-02-19 20:00:00,20.0,10.6,1020.0,82.0,28.8,300.0,,0.0
07510,2026-02-19 21:00:00,21.0,10.3,1021.5,83.0,28.8,300.0,,0.0
07510,2026-02-19 22:00:00,22.0,9.7,1022.5,89.0,25.2,300.0,,0.4
07510,2026-02-19 23:00:00,23.0,9.3,1023.4,92.0,14.4,290.0,,0.2
07510,2026-02-20 00:00:00,0.0,8.9,1024.2,89.0,25.2,300.0,,0.8
07510,2026-02-20 01:00:00,1.0,8.6,1024.8,92.0,10.8,280.0,,0.2
07510,2026-02-20 02:00:00,2.0,8.7,1025.5,92.0,10.8,280.0,,0.0
07510,2026-02-20 03:00:00,3.0,8.3,1025.8,91.0,7.2,330.0,,0.0
07510,2026-02-20 04:00:00,4.0,8.0,1026.1,92.0,7.2,250.0,,0.0
07510,2026-02-20 05:00:00,5.0,8.3,1026.7,88.0,10.8,270.0,,0.0
07510,2026-02-20 06:00:00,6.0,8.6,1027.6,88.0,14.4,300.0,2.6,0.2
07510,2026-02-20 07:00:00,7.0,7.2,1028.6,91.0,7.2,240.0,,0.0
07510,2026-02-20 08:00:00,8.0,8.6,1029.3,92.0,10.8,240.0,,0.0
07510,2026-02-20 09:00:00,9.0,9.3,1029.8,90.0,14.4,240.0,,0.0
07510,2026-02-20 10:00:00,10.0,9.8,1030.2,89.0,3.6,30.0,,0.0
07510,2026-02-20 11:00:00,11.0,11.5,1030.5,81.0,10.8,280.0,,0.0
07510,2026-02-20 12:00:00,12.0,12.8,1029.9,72.0,18.0,280.0,,0.0
07510,2026-02-20 13:00:00,13.0,12.8,1030.0,65.0,18.0,290.0,,0.0
07510,2026-02-20 14:00:00,14.0,13.4,1029.6,59.0,21.6,280.0,,0.0
07510,2026-02-20 15:00:00,15.0,13.3,1029.2,60.0,21.6,280.0,,0.0
07510,2026-02-20 16:00:00,16.0,11.6,1030.3,74.0,10.8,280.0,,0.2
07510,2026-02-20 17:00:00,17.0,12.9,1029.9,68.0,13.0,270.0,3.3,0.0
07510,2026-02-20 18:00:00,18.0,11.1,1030.7,78.0,14.4,260.0,,0.0
07510,2026-02-20 19:00:00,19.0,10.6,1031.2,83.0,7.2,250.0,,0.0
07510,2026-02-20 20:00:00,20.0,9.8,1031.3,87.0,10.8,230.0,,0.0
07510,2026-02-20 21:00:00,21.0,10.1,1031.7,89.0,10.8,260.0,,0.0
07510,2026-02-20 22:00:00,22.0,9.4,1031.9,94.0,7.2,210.0,,0.0
07510,2026-02-20 23:00:00,23.0,9.2,1031.9,95.0,10.8,210.0,,0.0
07510,2026-02-21 00:00:00,0.0,9.6,1032.2,95.0,10.8,210.0,,0.0
07510,2026-02-21 01:00:00,1.0,8.9,1032.2,94.0,7.2,210.0,,0.0
07510,2026-02-21 02:00:00,2.0,8.9,1032.3,95.0,7.2,220.0,,0.0
07510,2026-02-21 03:00:00,3.0,8.9,1031.9,95.0,10.8,210.0,,0.2
07510,2026-02-21 04:00:00,4.0,9.2,1032.1,96.0,3.6,200.0,,0.0
07510,2026-02-21 05:00:00,5.0,8.5,1032.1,95.0,7.2,210.0,,0.0
07510,2026-02-21 06:00:00,6.0,7.6,1032.5,95.0,3.6,200.0,3.5,0.0
07510,2026-02-21 07:00:00,7.0,7.7,1032.8,97.0,10.8,220.0,,0.0
07510,2026-02-21 08:00:00,8.0,9.1,1033.4,98.0,10.8,200.0,,0.0
07510,2026-02-21 09:00:00,9.0,11.1,1033.5,94.0,14.4,210.0,,0.0
07510,2026-02-21 10:00:00,10.0,12.3,1033.8,86.0,10.8,200.0,,0.0
07510,2026-02-21 11:00:00,11.0,12.7,1033.7,82.0,10.8,230.0,,0.0
07510,2026-02-21 12:00:00,12.0,14.0,1033.2,66.0,10.8,250.0,,0.0
07510,2026-02-21 13:00:00,13.0,14.2,1032.1,66.0,7.2,240.0,,0.0
07510,2026-02-21 14:00:00,14.0,14.5,1031.3,64.0,3.6,300.0,,0.0
07510,2026-02-21 15:00:00,15.0,14.3,1031.1,69.0,10.8,290.0,,0.0
07510,2026-02-21 16:00:00,16.0,13.7,1030.9,72.0,3.6,280.0,,0.0
07510,2026-02-21 17:00:00,17.0,13.7,1030.7,70.0,3.6,30.0,,0.0
07510,2026-02-21 18:00:00,18.0,12.5,1031.1,77.0,3.6,100.0,,0.0
07510,2026-02-21 19:00:00,19.0,10.6,1031.2,81.0,7.2,90.0,,0.0
07510,2026-02-21 20:00:00,20.0,9.1,1031.2,88.0,3.6,100.0,,0.0
07510,2026-02-21 21:00:00,21.0,8.9,1031.7,92.0,3.6,10.0,,0.0
07510,2026-02-21 22:00:00,22.0,8.1,1031.6,93.0,0.0,0.0,,0.0
